序号,代码,名称,最新价(元) 2026.06.09,涨跌幅(%) 2026.06.09,市盈率(TTM)(倍) 2026.06.09,证券类型,涨跌额(元) 2026.06.09,最高价(元) 2026.06.09,最低价(元) 2026.06.09,换手率(%) 2026.06.09,量比 2026.06.09,成交量(股) 2026.06.09,成交额(元) 2026.06.09,市盈率(动)(倍) 2026.06.09,市净率(倍) 2026.06.09,总市值(元) 2026.06.09,流通市值(元) 2026.06.09
776,002731,ST萃华,-,-,4.07,A股,-,-,-,-,-,-,-,4.81,0.5957,11.14亿,9.99亿
777,600015,华夏银行,6.88,1.33,4.04,A股,0.090,6.92,6.76,0.53,1.10,8178.00万,5.62亿,5.49,0.3407,1094.95亿,1058.64亿
778,000498,山东路桥,5.06,-0.39,3.66,A股,-0.020,5.09,5.04,0.35,0.61,502.60万,2544.40万,11.71,0.4705,78.55亿,73.34亿
779,600841,动力新科,7.11,1.57,3.16,A股,0.110,7.25,6.96,1.62,0.60,1686.90万,1.20亿,68.15,1.5370,98.67亿,74.16亿
780,002582,好想你,9.41,0.43,2.17,A股,0.040,9.48,9.21,2.79,0.64,961.34万,9013.29万,0.95,0.8689,42.13亿,32.39亿
781,000656,*ST金科,1.40,1.45,0.48,A股,0.020,1.41,1.36,1.02,1.15,7732.71万,1.07亿,-87.81,3.6061,148.36亿,106.13亿
782,001399,惠科股份,-,-,0.00,A股,-,-,-,-,-,-,-,0.00,0.0000,0.00,0.00
783,688797,臻宝科技,-,-,0.00,A股,-,-,-,-,-,-,-,0.00,0.0000,0.00,0.00
784,920072,科莱瑞迪,-,-,0.00,A股,-,-,-,-,-,-,-,0.00,0.0000,0.00,0.00
785,605081,退市太和,0.44,10.00,-0.16,A股,0.040,0.44,0.41,12.20,2.74,1381.64万,602.48万,-1.09,0.0756,4982.87万,4982.87万
786,600340,*ST华幸,1.35,4.65,-0.24,A股,0.060,1.35,1.28,3.28,1.27,1.28亿,1.70亿,-0.77,-0.2755,52.56亿,52.56亿
787,000002,万  科Ａ,3.12,-0.64,-0.42,A股,-0.020,3.16,3.07,1.32,0.66,1.28亿,3.97亿,-1.56,0.3368,372.24亿,303.17亿
788,600180,*ST瑞茂,1.42,-3.40,-0.45,A股,-0.050,1.47,1.40,4.36,0.85,4733.36万,6767.34万,-1.28,0.3594,15.43亿,15.43亿
789,601828,美凯龙,2.43,0.00,-0.46,A股,0.000,2.46,2.39,0.98,0.97,3554.27万,8633.35万,55.47,0.4692,105.79亿,87.78亿
790,000016,*ST康佳A,3.08,0.65,-0.58,A股,0.020,3.13,3.06,1.04,0.57,1656.66万,5115.55万,-10.09,-0.6589,74.16亿,49.18亿
791,002146,荣盛发展,1.25,-2.34,-0.59,A股,-0.030,1.28,1.23,3.36,1.18,1.31亿,1.64亿,-2.06,1.0718,54.35亿,48.89亿
792,688287,退市观典,-,-,-0.62,A股,-,-,-,-,-,-,-,-1.66,0.2280,1.37亿,1.37亿
793,600325,华发股份,2.60,-0.76,-0.67,A股,-0.020,2.65,2.54,1.87,0.96,5140.35万,1.32亿,-1.89,0.8343,71.56亿,71.56亿
794,600491,ST龙元,1.33,0.00,-0.70,A股,0.000,1.37,1.30,2.00,0.53,3059.71万,4082.27万,-3.94,0.2928,20.35亿,20.35亿
795,600606,绿地控股,1.38,-0.72,-0.75,A股,-0.010,1.39,1.33,1.00,0.88,1.40亿,1.90亿,23.75,0.5031,193.95亿,193.95亿
796,600696,退市岩石,0.65,-9.72,-0.78,A股,-0.070,0.74,0.65,0.97,0.63,325.86万,220.39万,-1.63,2.1762,2.17亿,2.17亿
797,000056,*ST皇庭,1.82,-5.21,-0.80,A股,-0.100,1.98,1.82,8.51,1.09,7690.17万,1.47亿,-16.65,-0.8947,21.52亿,16.45亿
798,000926,福星股份,2.16,-2.26,-0.83,A股,-0.050,2.22,2.10,3.44,0.68,5409.60万,1.16亿,-6.46,0.6574,34.41亿,33.98亿
799,000488,ST晨鸣,2.08,0.00,-0.83,A股,0.000,2.13,2.06,0.75,0.90,1263.64万,2640.50万,-2.98,14.6885,61.18亿,35.24亿
800,600383,金地集团,2.49,-1.97,-0.85,A股,-0.050,2.56,2.47,1.11,0.81,5026.05万,1.25亿,-4.14,0.2512,112.41亿,112.41亿
801,002717,*ST岭南,1.18,0.85,-0.89,A股,0.010,1.23,1.15,4.08,0.86,7006.70万,8424.36万,-4.02,-1.4485,21.48亿,20.28亿
802,600657,信达地产,2.63,-3.66,-0.92,A股,-0.100,2.75,2.60,1.16,1.34,3299.14万,8676.77万,-3.97,0.4842,75.00亿,75.00亿
803,000069,华侨城Ａ,1.85,-2.63,-1.03,A股,-0.050,1.90,1.80,0.89,1.07,6109.80万,1.13亿,-2.72,0.4352,148.70亿,127.62亿
804,000826,*ST启环,2.24,-0.88,-1.04,A股,-0.020,2.27,2.21,1.44,0.59,2046.80万,4557.93万,-4.41,-1.2764,31.93亿,31.92亿
805,603359,*ST东珠,2.75,-1.79,-1.12,A股,-0.050,2.91,2.75,2.67,0.74,1192.26万,3361.45万,-21.80,0.8743,12.27亿,12.27亿
806,600533,栖霞建设,2.18,-0.46,-1.20,A股,-0.010,2.21,2.11,1.89,0.87,1989.47万,4305.44万,-10.35,1.7262,22.89亿,22.89亿
807,000639,ST西王,1.49,-1.97,-1.28,A股,-0.030,1.53,1.48,3.34,0.66,3602.61万,5426.30万,-43.28,0.9740,16.08亿,16.08亿
808,300068,ST南都,4.20,-2.33,-1.41,A股,-0.100,4.35,4.17,4.99,0.76,4257.64万,1.80亿,-3.10,3.4266,37.73亿,35.85亿
809,600376,首开股份,3.59,-1.64,-1.47,A股,-0.060,3.73,3.52,2.59,0.59,6669.70万,2.40亿,-3.07,3.9335,92.61亿,92.61亿
810,300430,*ST益通,5.22,-2.43,-1.50,A股,-0.130,5.38,5.14,5.29,0.64,1375.45万,7178.38万,-6.03,1.1114,14.25亿,13.56亿
811,600831,广电网络,3.45,-0.58,-1.59,A股,-0.020,3.53,3.38,1.76,0.68,1254.80万,4313.03万,-3.26,6.9211,24.53亿,24.53亿
812,300020,ST银江,3.67,0.27,-1.63,A股,0.010,3.71,3.61,1.05,0.50,807.81万,2950.44万,-10.25,2.1852,29.16亿,28.13亿
813,301030,*ST仕净,12.88,-3.45,-1.72,A股,-0.460,13.48,12.74,5.72,0.95,1156.68万,1.51亿,-5.55,-6.5608,26.07亿,26.03亿
814,688033,*ST天宜,6.92,-1.14,-1.74,A股,-0.080,7.18,6.88,1.21,0.64,678.74万,4732.75万,-11.42,2.9334,38.90亿,38.90亿
815,002822,ST中装,2.78,-2.11,-1.75,A股,-0.060,2.88,2.78,0.69,1.02,734.36万,2059.16万,-185.01,5.0143,54.21亿,29.72亿
816,000402,金 融 街,2.79,-2.79,-1.79,A股,-0.080,2.89,2.74,1.96,0.70,5845.01万,1.62亿,6.04,0.4200,83.39亿,83.38亿
817,688066,*ST航图,12.72,-2.08,-1.79,A股,-0.270,13.10,12.42,2.23,0.68,581.44万,7375.26万,-7.67,-2.6914,33.23亿,33.23亿
818,600708,光明地产,3.04,0.66,-1.84,A股,0.020,3.05,2.89,1.22,0.81,2713.75万,8027.22万,-7.23,1.1361,67.75亿,67.65亿
819,603378,*ST亚士,5.95,0.85,-1.84,A股,0.050,6.18,5.74,4.29,1.03,1839.32万,1.09亿,-6.53,-15.3324,25.50亿,25.50亿
820,920719,宁新新材,10.61,-4.41,-1.87,A股,-0.490,11.01,10.42,5.75,0.94,421.17万,4477.20万,-5.53,8.9151,9.88亿,7.77亿
821,600337,ST美克,3.20,0.63,-1.90,A股,0.020,3.23,3.12,1.23,0.55,1766.99万,5604.95万,-5.43,11.7196,45.98亿,45.98亿
822,000632,ST三木,3.82,-2.80,-1.92,A股,-0.110,3.96,3.73,4.42,0.78,2058.41万,7878.51万,-7.68,28.3483,17.78亿,17.78亿
823,300094,国联水产,2.81,0.00,-1.94,A股,0.000,2.85,2.76,2.22,0.76,2457.82万,6879.21万,183.29,33.3665,31.70亿,31.07亿
824,300122,智飞生物,12.10,1.42,-1.96,A股,0.170,12.16,11.77,1.33,0.96,1884.95万,2.26亿,-18.65,1.8746,289.65亿,171.13亿
825,600665,天地源,3.36,-1.75,-2.08,A股,-0.060,3.47,3.23,2.26,0.91,1950.26万,6484.69万,-4.62,2.0486,29.03亿,29.03亿
826,920575,*ST康乐,4.15,-4.16,-2.08,A股,-0.180,4.38,4.07,4.02,0.71,754.68万,3154.15万,-5.75,-16.0955,11.66亿,7.80亿
827,002743,富煌钢构,4.57,0.66,-2.09,A股,0.030,4.68,4.48,1.38,0.95,600.60万,2754.15万,-11.03,0.8573,19.89亿,19.86亿
828,002360,ST同德,5.83,1.22,-2.10,A股,0.070,5.91,5.55,2.01,0.70,654.08万,3759.15万,-52.76,2.5485,23.42亿,18.98亿
